Block,blockMsg,thisN,thisTrialN,thisRepN,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Color,Orientation,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,BlockStart.started,BlockStart_Msg.started,key_resp_2.started,BlockStart.stopped,Blocks.key_resp_2.keys,Blocks.key_resp_2.rt,Blocks.key_resp_2.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback.stopped,Feedback_Present.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,BlockEnd.started,BlockEnd_Msg.started,key_resp_3.started,BlockEnd.stopped,Blocks.key_resp_3.keys,Blocks.key_resp_3.rt,Blocks.key_resp_3.duration,TaskEnd.started,ThankYou.started,key_resp_4.started,TaskEnd.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,6,6,0,Go,Go,0.29,0.2,0.05,space,blue,vertical,space,260.0365758999833,None,space,1,0.32310439995490015,None,,,,0,2,2,2,0,6,6,6,1249.0886243000277,,,,,,,,,,,,,,,,1249.0730291000218,1249.0886243000277,1249.7880028000218,1249.7880028000218,1250.287574600021,1250.2717575000133,1250.2724362000008,1250.287574600021,1250.587417999981,1250.770818400022,1250.770818400022,1251.1049776999862,space,1,0.32310439995490015,None,1251.1097134000156,1251.6200362999807,1252.6034461000236,1252.6190474000177,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,7,7,0,Go,Go,0.15,0.2,0.05,space,blue,vertical,space,260.0365758999833,None,space,1,0.30965079995803535,None,,,,0,2,2,2,0,7,7,7,1252.6190474000177,,,,,,,,,,,,,,,,1252.6037858999916,1252.6190474000177,1253.3185296999873,1253.3185296999873,1253.8183087999932,1253.8023667000234,1253.803127799998,1253.8183087999932,1253.968149900029,1254.1679779000115,1254.1679779000115,1254.485263700015,space,1,0.30965079995803535,None,1254.4887237999937,1255.000468800019,1255.9838849999942,1255.999569699983,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,8,8,0,Go,Go,0.3,0.2,0.05,space,blue,vertical,space,260.0365758999833,None,space,1,0.2912499000085518,None,,,,0,2,2,2,0,8,8,8,1255.999569699983,,,,,,,,,,,,,,,,1255.9842383000068,1255.999569699983,1256.6989911000128,1256.6989911000128,1257.1987472000183,1257.1827743999893,1257.1833269000053,1257.1987472000183,1257.4983658000128,1257.6984271000256,1257.6984271000256,1257.9996437000227,space,1,0.2912499000085518,None,1258.0048434000346,1258.5142915000324,1259.4976144999964,1259.5133126000292,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,9,9,0,Go,Go,0.29,0.2,0.05,space,green,vertical,space,260.0365758999833,None,space,1,0.2906217999989167,None,,,,0,2,2,2,0,9,9,9,1259.5133126000292,,,,,,,,,,,,,,,,1259.4979012000258,1259.5133126000292,1260.2128270000103,1260.2128270000103,1260.7124995000195,1260.6967386000324,1260.6972905999864,1260.7124995000195,1261.0121316000004,1261.1953633999801,1261.1953633999801,1261.4962757999892,space,1,0.2906217999989167,None,1261.500239200017,1262.0114777000272,1262.9946157999802,1263.0106039000093,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,10,10,0,Go,Go,0.11,0.05,0.2,space,blue,horizontal,space,260.0365758999833,None,space,1,0.3839418000425212,None,,,,0,2,2,2,0,10,10,10,1263.0106039000093,,,,,,,,,,,,,,,,1262.994880800019,1263.0106039000093,1263.7100057000061,1263.7100057000061,1264.2096967999823,1264.1938325000228,1264.194608299993,1264.2096967999823,1264.3263055999996,1264.5092733000056,1264.5092733000056,1264.909786400036,space,1,0.3839418000425212,None,1264.91325089999,1265.4252806000295,1266.4085074000177,1266.4244516000035,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,11,11,0,Go,Go,0.18,0.2,0.05,space,blue,vertical,space,260.0365758999833,None,space,1,0.287622400035616,None,,,,0,2,2,2,0,11,11,11,1266.4244516000035,,,,,,,,,,,,,,,,1266.4088021999924,1266.4244516000035,1267.1237205000361,1267.1237205000361,1267.6233593000215,1267.607542200014,1267.6081902000005,1267.6233593000215,1267.8067955999868,1267.9897340000025,1267.9897340000025,1268.2907774000196,space,1,0.287622400035616,None,1268.2949660000158,1268.8057526000193,1269.7888608999783,1269.8048572000116,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,12,12,0,Go,Go,0.18,0.05,0.2,space,blue,horizontal,space,260.0365758999833,None,space,1,0.3632322999765165,None,,,,0,2,2,2,0,12,12,12,1269.8048572000116,,,,,,,,,,,,,,,,1269.7890813000267,1269.8048572000116,1270.504544800031,1270.504544800031,1271.0039631000254,1270.98806350003,1270.9887235999922,1271.0039631000254,1271.1873586000293,1271.3703127999906,1271.3703127999906,1271.7377839999972,space,1,0.3632322999765165,None,1271.7411983000347,1272.2528836000129,1273.2361456999788,1273.2520232999814,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,13,13,0,Go,Go,0.13,0.05,0.2,space,green,horizontal,space,260.0365758999833,None,space,1,0.25549060001503676,None,,,,0,2,2,2,0,13,13,13,1273.2520232999814,,,,,,,,,,,,,,,,1273.2363840999897,1273.2520232999814,1273.951457499992,1273.951457499992,1274.4510963999783,1274.4352298000013,1274.4358597000246,1274.4510963999783,1274.5844718000153,1274.7676296000136,1274.7676296000136,1275.0352501000161,space,1,0.25549060001503676,None,1275.0391820999794,1275.5503198999795,1276.5334159000195,1276.549391700013,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,14,14,0,Go,Go,0.13,0.05,0.2,space,green,horizontal,space,260.0365758999833,None,space,1,0.22867240000050515,None,,,,0,2,2,2,0,14,14,14,1276.549391700013,,,,,,,,,,,,,,,,1276.533663099981,1276.549391700013,1277.2489441999933,1277.2489441999933,1277.7483585000155,1277.7329034000286,1277.7336542999838,1277.7483585000155,1277.881742700003,1278.0651451000012,1278.0651451000012,1278.298882699979,space,1,0.22867240000050515,None,1278.3015471000108,1278.8141858000308,1279.7975180000067,1279.8133682000334,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock3.xlsx,You are about to start a block of type 3 trials.,15,15,0,Go,Go,0.16,0.2,0.05,space,green,vertical,space,260.0365758999833,None,space,1,0.27589539997279644,None,,,,0,2,2,2,0,15,15,15,1279.8133682000334,,,,,,,,,,,,,,,,1279.7979131999891,1279.8133682000334,1280.5128724999959,1280.5128724999959,1281.0125458000111,1280.9964705000166,1280.9971865999978,1281.0125458000111,1281.1791058999952,1281.362264299998,1281.362264299998,1281.6462295000092,space,1,0.27589539997279644,None,1281.650169700035,1282.161520100024,1283.1449484000332,1283.160625700024,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
